trait,direction,judge_type,effect,model
evil,pos,unsteered,-0.1399999999999999,Qwen3-4B
evil,pos,openai,-0.16166666666666674,Qwen3-4B
evil,neg,unsteered,-0.03500000000000014,Qwen3-4B
evil,neg,openai,-0.14166666666666672,Qwen3-4B
apathetic,pos,unsteered,-0.09000000000000019,Qwen3-4B
apathetic,pos,openai,-0.1183333333333334,Qwen3-4B
apathetic,neg,unsteered,-0.010000000000000231,Qwen3-4B
apathetic,neg,openai,-0.1083333333333335,Qwen3-4B
hallucinating,pos,unsteered,-0.07500000000000018,Qwen3-4B
hallucinating,pos,openai,-0.07333333333333347,Qwen3-4B
hallucinating,neg,unsteered,-0.010000000000000231,Qwen3-4B
hallucinating,neg,openai,-0.18000000000000005,Qwen3-4B
humorous,pos,unsteered,-0.3716666666666666,Qwen3-4B
humorous,pos,openai,-0.4200000000000001,Qwen3-4B
humorous,neg,unsteered,-0.11000000000000021,Qwen3-4B
humorous,neg,openai,-0.18500000000000005,Qwen3-4B
impolite,pos,unsteered,-0.18500000000000005,Qwen3-4B
impolite,pos,openai,-0.19333333333333336,Qwen3-4B
impolite,neg,unsteered,-0.08000000000000018,Qwen3-4B
impolite,neg,openai,-0.135,Qwen3-4B
optimistic,pos,unsteered,-0.07500000000000018,Qwen3-4B
optimistic,pos,openai,-0.14666666666666672,Qwen3-4B
optimistic,neg,unsteered,-0.04500000000000015,Qwen3-4B
optimistic,neg,openai,-0.08666666666666678,Qwen3-4B
sycophantic,pos,unsteered,-0.02000000000000013,Qwen3-4B
sycophantic,pos,openai,-0.08833333333333349,Qwen3-4B
sycophantic,neg,unsteered,-0.0016666666666667052,Qwen3-4B
sycophantic,neg,openai,-0.07666666666666677,Qwen3-4B
evil,pos,unsteered,0.050000000000000044,Qwen3-32B
evil,pos,openai,-0.018333333333333535,Qwen3-32B
evil,neg,unsteered,0.010000000000000009,Qwen3-32B
evil,neg,openai,-0.015000000000000235,Qwen3-32B
apathetic,pos,unsteered,0.030000000000000027,Qwen3-32B
apathetic,pos,openai,-0.026666666666666727,Qwen3-32B
apathetic,neg,unsteered,0.010000000000000009,Qwen3-32B
apathetic,neg,openai,-0.015000000000000235,Qwen3-32B
hallucinating,pos,unsteered,-0.030000000000000027,Qwen3-32B
hallucinating,pos,openai,-0.06333333333333346,Qwen3-32B
hallucinating,neg,unsteered,-0.015000000000000013,Qwen3-32B
hallucinating,neg,openai,0.02833333333333321,Qwen3-32B
humorous,pos,unsteered,0.08000000000000007,Qwen3-32B
humorous,pos,openai,-0.0016666666666668162,Qwen3-32B
humorous,neg,unsteered,-0.0050000000000000044,Qwen3-32B
humorous,neg,openai,-0.06500000000000017,Qwen3-32B
impolite,pos,unsteered,0.015000000000000013,Qwen3-32B
impolite,pos,openai,-0.0033333333333335213,Qwen3-32B
impolite,neg,unsteered,-0.020000000000000018,Qwen3-32B
impolite,neg,openai,-0.050000000000000155,Qwen3-32B
optimistic,pos,unsteered,-0.010000000000000009,Qwen3-32B
optimistic,pos,openai,0.0066666666666664876,Qwen3-32B
optimistic,neg,unsteered,-0.03499999999999992,Qwen3-32B
optimistic,neg,openai,-0.05166666666666675,Qwen3-32B
sycophantic,pos,unsteered,0.025000000000000022,Qwen3-32B
sycophantic,pos,openai,-0.025000000000000244,Qwen3-32B
sycophantic,neg,unsteered,0.0,Qwen3-32B
sycophantic,neg,openai,-0.0050000000000000044,Qwen3-32B
evil,pos,unsteered,-0.45166666666666666,gpt-oss-20b
evil,pos,openai,-0.44333333333333336,gpt-oss-20b
evil,neg,unsteered,-0.06166666666666665,gpt-oss-20b
evil,neg,openai,-0.11499999999999999,gpt-oss-20b
apathetic,pos,unsteered,-0.05833333333333335,gpt-oss-20b
apathetic,pos,openai,0.033333333333333326,gpt-oss-20b
apathetic,neg,unsteered,-0.008333333333333304,gpt-oss-20b
apathetic,neg,openai,-0.011666666666666714,gpt-oss-20b
hallucinating,pos,unsteered,-0.20666666666666672,gpt-oss-20b
hallucinating,pos,openai,-0.13666666666666671,gpt-oss-20b
hallucinating,neg,unsteered,-0.14333333333333326,gpt-oss-20b
hallucinating,neg,openai,-0.17166666666666663,gpt-oss-20b
humorous,pos,unsteered,-0.2,gpt-oss-20b
humorous,pos,openai,-0.07166666666666666,gpt-oss-20b
humorous,neg,unsteered,-0.15333333333333327,gpt-oss-20b
humorous,neg,openai,-0.1283333333333334,gpt-oss-20b
impolite,pos,unsteered,0.0033333333333334103,gpt-oss-20b
impolite,pos,openai,0.10166666666666657,gpt-oss-20b
impolite,neg,unsteered,-0.050000000000000044,gpt-oss-20b
impolite,neg,openai,-0.014999999999999902,gpt-oss-20b
optimistic,pos,unsteered,-0.05333333333333323,gpt-oss-20b
optimistic,pos,openai,-0.0033333333333331883,gpt-oss-20b
optimistic,neg,unsteered,-0.08666666666666667,gpt-oss-20b
optimistic,neg,openai,0.0016666666666668162,gpt-oss-20b
sycophantic,pos,unsteered,-0.08999999999999997,gpt-oss-20b
sycophantic,pos,openai,-0.07166666666666666,gpt-oss-20b
sycophantic,neg,unsteered,-0.033333333333333326,gpt-oss-20b
sycophantic,neg,openai,-0.033333333333333215,gpt-oss-20b
