set_id,sample_id,student_type,unsteered_raw,unsteered_norm,openai_raw,openai_norm
1,0,apathetic_neg,3,1.0,3,1.0
1,0,apathetic_pos,2,0.6667,3,1.0
1,0,evil_neg,3,1.0,3,1.0
1,0,evil_pos,3,1.0,3,1.0
1,0,hallucinating_neg,3,1.0,2,0.6667
1,0,hallucinating_pos,3,1.0,2,0.6667
1,0,humorous_neg,3,1.0,3,1.0
1,0,humorous_pos,2,0.6667,2,0.6667
1,0,impolite_neg,3,1.0,3,1.0
1,0,impolite_pos,3,1.0,3,1.0
1,0,optimistic_neg,3,1.0,3,1.0
1,0,optimistic_pos,3,1.0,3,1.0
1,0,sycophantic_neg,3,1.0,3,1.0
1,0,sycophantic_pos,3,1.0,3,1.0
1,0,unsteered,3,1.0,2,0.6667
1,1,apathetic_neg,3,1.0,2,0.6667
1,1,apathetic_pos,2,0.6667,2,0.6667
1,1,evil_neg,3,1.0,2,0.6667
1,1,evil_pos,3,1.0,3,1.0
1,1,hallucinating_neg,3,1.0,2,0.6667
1,1,hallucinating_pos,3,1.0,2,0.6667
1,1,humorous_neg,3,1.0,2,0.6667
1,1,humorous_pos,2,0.6667,2,0.6667
1,1,impolite_neg,3,1.0,3,1.0
1,1,impolite_pos,3,1.0,3,1.0
1,1,optimistic_neg,3,1.0,3,1.0
1,1,optimistic_pos,3,1.0,3,1.0
1,1,sycophantic_neg,3,1.0,3,1.0
1,1,sycophantic_pos,3,1.0,3,1.0
1,1,unsteered,3,1.0,2,0.6667
1,2,apathetic_neg,3,1.0,2,0.6667
1,2,apathetic_pos,1,0.3333,2,0.6667
1,2,evil_neg,3,1.0,3,1.0
1,2,evil_pos,3,1.0,2,0.6667
1,2,hallucinating_neg,3,1.0,2,0.6667
1,2,hallucinating_pos,3,1.0,3,1.0
1,2,humorous_neg,3,1.0,2,0.6667
1,2,humorous_pos,1,0.3333,1,0.3333
1,2,impolite_neg,3,1.0,3,1.0
1,2,impolite_pos,2,0.6667,2,0.6667
1,2,optimistic_neg,3,1.0,2,0.6667
1,2,optimistic_pos,3,1.0,3,1.0
1,2,sycophantic_neg,3,1.0,3,1.0
1,2,sycophantic_pos,3,1.0,2,0.6667
1,2,unsteered,3,1.0,3,1.0
1,3,apathetic_neg,3,1.0,3,1.0
1,3,apathetic_pos,2,0.6667,2,0.6667
1,3,evil_neg,3,1.0,3,1.0
1,3,evil_pos,3,1.0,2,0.6667
1,3,hallucinating_neg,3,1.0,3,1.0
1,3,hallucinating_pos,3,1.0,2,0.6667
1,3,humorous_neg,3,1.0,2,0.6667
1,3,humorous_pos,2,0.6667,1,0.3333
1,3,impolite_neg,3,1.0,3,1.0
1,3,impolite_pos,2,0.6667,1,0.3333
1,3,optimistic_neg,3,1.0,3,1.0
1,3,optimistic_pos,3,1.0,3,1.0
1,3,sycophantic_neg,3,1.0,3,1.0
1,3,sycophantic_pos,3,1.0,3,1.0
1,3,unsteered,3,1.0,3,1.0
1,4,apathetic_neg,3,1.0,3,1.0
1,4,apathetic_pos,1,0.3333,2,0.6667
1,4,evil_neg,3,1.0,3,1.0
1,4,evil_pos,3,1.0,2,0.6667
1,4,hallucinating_neg,3,1.0,3,1.0
1,4,hallucinating_pos,3,1.0,2,0.6667
