judge_type,1,2,3,4,5,6,7,8,9,10
apathetic_neg,0.9,0.5,0.9,0.8,0.26666666666666666,0.2333333333333333,0.4,0.45,0.55,0.6333333333333333
apathetic_pos,0.5,0.05,0.9,0.7,0.2333333333333333,0.2,0.3,0.4,0.55,0.26666666666666666
evil_neg,0.6333333333333333,0.2,0.5,0.5,0.2,0.16666666666666666,0.2,0.3,0.5,0.2333333333333333
evil_pos,0.5666666666666667,0.2,1.0,0.7,0.2333333333333333,0.2,0.4,0.45,0.55,0.4333333333333333
hallucinating_neg,0.4333333333333333,0.05,0.5,0.5,0.2,0.16666666666666666,0.2,0.3,0.5,0.06666666666666667
hallucinating_pos,0.6666666666666666,0.05,0.8,0.6,0.2,0.2,0.3,0.45,0.55,0.4
humorous_neg,0.6666666666666666,0.0,0.6,0.5,0.2,0.2,0.2,0.3,0.5,0.2333333333333333
humorous_pos,0.4333333333333333,0.0,0.8,0.55,0.2333333333333333,0.2,0.3,0.35,0.55,0.16666666666666666
impolite_neg,0.7,0.3,0.65,0.65,0.2,0.2333333333333333,0.25,0.4,0.5,0.36666666666666664
impolite_pos,0.4333333333333333,0.0,0.85,0.6,0.2333333333333333,0.13333333333333333,0.25,0.3,0.4,0.13333333333333333
openai,0.6333333333333333,0.6,0.4,0.35,0.2333333333333333,0.2333333333333333,0.7,0.65,0.6,0.39999999999999997
optimistic_neg,0.5,0.25,0.5,0.5,0.2,0.16666666666666666,0.2,0.3,0.5,0.2
optimistic_pos,0.7,0.25,0.85,0.6,0.2,0.2,0.35,0.4,0.6,0.6333333333333333
sycophantic_neg,0.5666666666666667,0.1,0.5,0.5,0.2,0.16666666666666666,0.2,0.3,0.5,0.2
sycophantic_pos,0.5,0.05,1.0,0.75,0.2333333333333333,0.2,0.4,0.45,0.55,0.4666666666666666
unsteered,0.4666666666666666,0.0,0.5,0.5,0.2,0.13333333333333333,0.2,0.3,0.5,0.2
