judge_type,mean_bias,std_bias,mae,mean_raw_score,mean_gt_score,mean_normalized,count,qwk_set_1,bias_set_1,mae_set_1,qwk_set_2,bias_set_2,mae_set_2,qwk_set_3,bias_set_3,mae_set_3,qwk_set_4,bias_set_4,mae_set_4,qwk_set_5,bias_set_5,mae_set_5,qwk_set_6,bias_set_6,mae_set_6,qwk_set_7,bias_set_7,mae_set_7,qwk_set_8,bias_set_8,mae_set_8,qwk_set_9,bias_set_9,mae_set_9,qwk_set_10,bias_set_10,mae_set_10,mean_qwk,std_qwk
unsteered,-0.35,0.8471,0.67,0.7,1.05,0.3,100,0.4444,-0.3,0.5,0.0,-1.45,1.45,0.0,0.05,0.45,0.0,0.0,0.5,0.8214,0.15,0.25,0.8837,0.1,0.1,-0.1429,-0.6,1.0,-0.3333,-0.5,1.1,0.0,-0.35,0.65,0.1667,-0.6,0.7,0.184,0.3839
evil_pos,0.04,1.0239,0.77,1.09,1.05,0.4733,100,0.186,0.0,0.7,0.1053,-1.05,1.05,0.0,1.05,1.05,0.6,0.4,0.4,0.7423,0.25,0.35,0.7423,0.3,0.3,-0.2222,-0.2,1.2,-0.4,-0.2,1.2,0.3137,-0.25,0.75,0.4068,0.1,0.7,0.2474,0.37
evil_neg,-0.24,0.8381,0.65,0.81,1.05,0.3433,100,0.1463,0.2,0.7,0.1053,-1.05,1.05,0.0,0.05,0.45,0.0,0.0,0.5,0.8214,0.15,0.25,0.8182,0.2,0.2,-0.1429,-0.6,1.0,-0.3333,-0.5,1.1,0.0,-0.35,0.65,0.1463,-0.5,0.6,0.1561,0.3586
apathetic_pos,-0.11,1.0382,0.78,0.94,1.05,0.41,100,0.1818,-0.2,0.7,0.04,-1.35,1.35,0.1429,0.85,0.85,0.6,0.4,0.4,0.7423,0.25,0.35,0.7423,0.3,0.3,-0.125,-0.4,1.0,-0.2857,-0.3,1.1,0.3137,-0.25,0.75,0.0625,-0.4,1.0,0.2415,0.3367
apathetic_neg,0.28,1.0107,0.79,1.33,1.05,0.5633,100,-0.0215,1.0,1.2,0.0,-0.45,0.65,0.1429,0.85,0.85,0.5,0.6,0.6,0.6939,0.35,0.45,0.697,0.4,0.4,-0.2222,-0.2,1.2,-0.4,-0.2,1.2,0.1463,-0.25,0.65,0.0426,0.7,0.7,0.1579,0.3495
hallucinating_pos,-0.06,0.9625,0.72,0.99,1.05,0.4217,100,0.0,0.3,0.7,0.04,-1.35,1.35,0.5,0.65,0.65,0.0,0.2,0.7,0.8214,0.15,0.25,0.8052,0.3,0.3,-0.125,-0.4,1.0,-0.4,-0.2,1.2,0.1463,-0.25,0.65,0.4444,0.0,0.4,0.2232,0.3835
hallucinating_neg,-0.38,0.875,0.71,0.67,1.05,0.2917,100,0.3243,-0.4,0.6,0.04,-1.35,1.35,0.0,0.05,0.45,0.0,0.0,0.5,0.8214,0.15,0.25,0.8462,0.2,0.2,-0.1429,-0.6,1.0,-0.3333,-0.5,1.1,0.0,-0.35,0.65,0.0789,-1.0,1.0,0.1635,0.3699
humorous_pos,-0.23,1.0522,0.82,0.82,1.05,0.3583,100,0.2105,-0.4,0.7,0.0,-1.45,1.45,0.1667,0.65,0.85,0.0,0.1,0.6,0.7423,0.25,0.35,0.7423,0.3,0.3,-0.125,-0.4,1.0,-0.4615,-0.4,1.2,0.1463,-0.25,0.65,0.0,-0.7,1.1,0.1422,0.3496
humorous_neg,-0.24,0.9013,0.7,0.81,1.05,0.34,100,0.25,0.3,0.6,0.0,-1.45,1.45,0.25,0.25,0.55,0.0,0.0,0.5,0.8214,0.15,0.25,0.8052,0.3,0.3,-0.1429,-0.6,1.0,-0.3333,-0.5,1.1,0.0,-0.35,0.65,0.1463,-0.5,0.6,0.1797,0.3575
impolite_pos,-0.29,1.0178,0.79,0.76,1.05,0.3333,100,0.2105,-0.4,0.7,0.0,-1.45,1.45,0.3077,0.75,0.75,0.25,0.2,0.6,0.7423,0.25,0.35,0.9206,0.1,0.1,-0.2667,-0.5,1.1,-0.2857,-0.5,1.2,0.4118,-0.55,0.65,0.0278,-0.8,1.0,0.2318,0.3722
