trait,direction,student_type,judge_type,mean_normalized,std_normalized,mean_raw,std_raw,count,set_1_mean_norm,set_1_mean_raw,set_1_n,set_2_mean_norm,set_2_mean_raw,set_2_n,set_3_mean_norm,set_3_mean_raw,set_3_n,set_4_mean_norm,set_4_mean_raw,set_4_n,set_5_mean_norm,set_5_mean_raw,set_5_n,set_6_mean_norm,set_6_mean_raw,set_6_n,set_7_mean_norm,set_7_mean_raw,set_7_n,set_8_mean_norm,set_8_mean_raw,set_8_n,set_9_mean_norm,set_9_mean_raw,set_9_n,set_10_mean_norm,set_10_mean_raw,set_10_n
unsteered,none,unsteered,unsteered,0.72,0.4341,1.74,1.1426,100,1.0,3.0,10,1.0,2.0,10,0.9,1.8,10,0.85,1.7,10,1.0,3.0,10,1.0,3.0,10,0.2,0.4,10,0.3,0.6,10,0.95,1.9,10,0.0,0.0,10
unsteered,none,unsteered,openai,0.8217,0.3285,1.94,0.9192,100,0.9667,2.9,10,0.8,1.6,10,0.95,1.9,10,0.95,1.9,10,1.0,3.0,10,1.0,3.0,10,0.65,1.3,10,0.95,1.9,10,0.95,1.9,10,0.0,0.0,10
evil,pos,evil_pos,unsteered,0.77,0.4046,1.84,1.0704,100,1.0,3.0,10,1.0,2.0,10,1.0,2.0,10,0.85,1.7,10,1.0,3.0,10,1.0,3.0,10,0.1,0.2,10,0.75,1.5,10,1.0,2.0,10,0.0,0.0,10
evil,pos,evil_pos,openai,0.8033,0.3311,1.9,0.9266,100,0.9667,2.9,10,0.95,1.9,10,1.0,2.0,10,0.7,1.4,10,0.9667,2.9,10,1.0,3.0,10,0.55,1.1,10,1.0,2.0,10,0.9,1.8,10,0.0,0.0,10
evil,neg,evil_neg,unsteered,0.73,0.4046,1.76,1.0929,100,1.0,3.0,10,1.0,2.0,10,0.9,1.8,10,0.7,1.4,10,1.0,3.0,10,1.0,3.0,10,0.45,0.9,10,0.3,0.6,10,0.95,1.9,10,0.0,0.0,10
evil,neg,evil_neg,openai,0.8067,0.3314,1.91,0.9331,100,0.9667,2.9,10,0.8,1.6,10,1.0,2.0,10,0.9,1.8,10,1.0,3.0,10,1.0,3.0,10,0.7,1.4,10,0.8,1.6,10,0.9,1.8,10,0.0,0.0,10
apathetic,pos,apathetic_pos,unsteered,0.75,0.4051,1.8,1.0825,100,1.0,3.0,10,1.0,2.0,10,1.0,2.0,10,0.65,1.3,10,1.0,3.0,10,1.0,3.0,10,0.45,0.9,10,0.4,0.8,10,1.0,2.0,10,0.0,0.0,10
apathetic,pos,apathetic_pos,openai,0.795,0.3341,1.89,0.9523,100,1.0,3.0,10,0.9,1.8,10,0.95,1.9,10,0.7,1.4,10,1.0,3.0,10,1.0,3.0,10,0.65,1.3,10,0.95,1.9,10,0.8,1.6,10,0.0,0.0,10
apathetic,neg,apathetic_neg,unsteered,0.73,0.423,1.76,1.1202,100,1.0,3.0,10,1.0,2.0,10,0.95,1.9,10,0.8,1.6,10,1.0,3.0,10,1.0,3.0,10,0.35,0.7,10,0.25,0.5,10,0.95,1.9,10,0.0,0.0,10
apathetic,neg,apathetic_neg,openai,0.8067,0.3314,1.91,0.9331,100,0.9667,2.9,10,0.85,1.7,10,1.0,2.0,10,0.8,1.6,10,1.0,3.0,10,1.0,3.0,10,0.75,1.5,10,0.9,1.8,10,0.8,1.6,10,0.0,0.0,10
