trait,direction,judge_type,mean_normalized,std_normalized,mean_raw,std_raw,count,set_1_mean_norm,set_1_mean_raw,set_1_n,set_2_mean_norm,set_2_mean_raw,set_2_n,set_3_mean_norm,set_3_mean_raw,set_3_n,set_4_mean_norm,set_4_mean_raw,set_4_n,set_5_mean_norm,set_5_mean_raw,set_5_n,set_6_mean_norm,set_6_mean_raw,set_6_n,set_7_mean_norm,set_7_mean_raw,set_7_n,set_8_mean_norm,set_8_mean_raw,set_8_n,set_9_mean_norm,set_9_mean_raw,set_9_n,set_10_mean_norm,set_10_mean_raw,set_10_n
unsteered,none,unsteered,0.295,0.288,0.68,0.709,100,0.4667,1.4,10,0.15,0.3,10,0.4,0.8,10,0.45,0.9,10,0.2333,0.7,10,0.2,0.6,10,0.4,0.8,10,0.2,0.4,10,0.45,0.9,10,0.0,0.0,10
evil,pos,evil_pos,0.2933,0.3072,0.68,0.7638,100,0.4333,1.3,10,0.25,0.5,10,0.4,0.8,10,0.35,0.7,10,0.3,0.9,10,0.2,0.6,10,0.4,0.8,10,0.15,0.3,10,0.45,0.9,10,0.0,0.0,10
evil,neg,evil_neg,0.305,0.2863,0.7,0.7035,100,0.4667,1.4,10,0.15,0.3,10,0.45,0.9,10,0.45,0.9,10,0.2333,0.7,10,0.2,0.6,10,0.4,0.8,10,0.25,0.5,10,0.45,0.9,10,0.0,0.0,10
apathetic,pos,apathetic_pos,0.2983,0.298,0.69,0.748,100,0.4333,1.3,10,0.15,0.3,10,0.45,0.9,10,0.4,0.8,10,0.3,0.9,10,0.2,0.6,10,0.4,0.8,10,0.2,0.4,10,0.45,0.9,10,0.0,0.0,10
apathetic,neg,apathetic_neg,0.2983,0.2816,0.68,0.6799,100,0.4333,1.3,10,0.15,0.3,10,0.45,0.9,10,0.45,0.9,10,0.2,0.6,10,0.2,0.6,10,0.4,0.8,10,0.25,0.5,10,0.45,0.9,10,0.0,0.0,10
hallucinating,pos,hallucinating_pos,0.3017,0.2879,0.69,0.7063,100,0.4333,1.3,10,0.15,0.3,10,0.45,0.9,10,0.45,0.9,10,0.2333,0.7,10,0.2,0.6,10,0.4,0.8,10,0.25,0.5,10,0.45,0.9,10,0.0,0.0,10
hallucinating,neg,hallucinating_neg,0.28,0.2812,0.65,0.7017,100,0.4667,1.4,10,0.05,0.1,10,0.4,0.8,10,0.4,0.8,10,0.2333,0.7,10,0.2,0.6,10,0.4,0.8,10,0.2,0.4,10,0.45,0.9,10,0.0,0.0,10
humorous,pos,humorous_pos,0.28,0.2772,0.64,0.6594,100,0.4333,1.3,10,0.15,0.3,10,0.4,0.8,10,0.35,0.7,10,0.2,0.6,10,0.1667,0.5,10,0.45,0.9,10,0.2,0.4,10,0.45,0.9,10,0.0,0.0,10
humorous,neg,humorous_neg,0.315,0.2967,0.73,0.7502,100,0.5,1.5,10,0.15,0.3,10,0.45,0.9,10,0.45,0.9,10,0.3,0.9,10,0.2,0.6,10,0.4,0.8,10,0.25,0.5,10,0.45,0.9,10,0.0,0.0,10
impolite,pos,impolite_pos,0.285,0.2894,0.66,0.7138,100,0.4667,1.4,10,0.15,0.3,10,0.4,0.8,10,0.4,0.8,10,0.2333,0.7,10,0.2,0.6,10,0.35,0.7,10,0.2,0.4,10,0.45,0.9,10,0.0,0.0,10
impolite,neg,impolite_neg,0.3017,0.2879,0.69,0.7063,100,0.4333,1.3,10,0.15,0.3,10,0.45,0.9,10,0.45,0.9,10,0.2333,0.7,10,0.2,0.6,10,0.4,0.8,10,0.25,0.5,10,0.45,0.9,10,0.0,0.0,10
optimistic,pos,optimistic_pos,0.3083,0.2886,0.71,0.7148,100,0.4667,1.4,10,0.15,0.3,10,0.45,0.9,10,0.45,0.9,10,0.2667,0.8,10,0.2,0.6,10,0.4,0.8,10,0.25,0.5,10,0.45,0.9,10,0.0,0.0,10
optimistic,neg,optimistic_neg,0.275,0.2817,0.64,0.7038,100,0.4667,1.4,10,0.1,0.2,10,0.4,0.8,10,0.35,0.7,10,0.2333,0.7,10,0.2,0.6,10,0.35,0.7,10,0.2,0.4,10,0.45,0.9,10,0.0,0.0,10
sycophantic,pos,sycophantic_pos,0.275,0.2905,0.64,0.718,100,0.4667,1.4,10,0.1,0.2,10,0.4,0.8,10,0.35,0.7,10,0.2333,0.7,10,0.2,0.6,10,0.35,0.7,10,0.2,0.4,10,0.45,0.9,10,0.0,0.0,10
sycophantic,neg,sycophantic_neg,0.305,0.2902,0.7,0.7177,100,0.4333,1.3,10,0.15,0.3,10,0.45,0.9,10,0.45,0.9,10,0.2667,0.8,10,0.2,0.6,10,0.4,0.8,10,0.25,0.5,10,0.45,0.9,10,0.0,0.0,10
openai,none,openai,0.4667,0.3213,1.08,0.7873,100,0.6333,1.9,10,0.6,1.2,10,0.35,0.7,10,0.35,0.7,10,0.2333,0.7,10,0.2333,0.7,10,0.75,1.5,10,0.65,1.3,10,0.5,1.0,10,0.3667,1.1,10
