trait,direction,student_type,judge_type,mean_normalized,std_normalized,mean_raw,std_raw,count,set_1_mean_norm,set_1_mean_raw,set_1_n,set_2_mean_norm,set_2_mean_raw,set_2_n,set_3_mean_norm,set_3_mean_raw,set_3_n,set_4_mean_norm,set_4_mean_raw,set_4_n,set_5_mean_norm,set_5_mean_raw,set_5_n,set_6_mean_norm,set_6_mean_raw,set_6_n,set_7_mean_norm,set_7_mean_raw,set_7_n,set_8_mean_norm,set_8_mean_raw,set_8_n,set_9_mean_norm,set_9_mean_raw,set_9_n,set_10_mean_norm,set_10_mean_raw,set_10_n
unsteered,none,unsteered,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
unsteered,none,unsteered,openai,0.1633,0.2496,0.41,0.6371,100,0.4333,1.3,10,0.3,0.6,10,0.05,0.1,10,0.1,0.2,10,0.2,0.6,10,0.2,0.6,10,0.1,0.2,10,0.15,0.3,10,0.1,0.2,10,0.0,0.0,10
evil,pos,evil_pos,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
evil,pos,evil_pos,openai,0.0417,0.1217,0.11,0.3145,100,0.0333,0.1,10,0.1,0.2,10,0.05,0.1,10,0.0,0.0,10,0.1,0.3,10,0.1333,0.4,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
evil,neg,evil_neg,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
evil,neg,evil_neg,openai,0.2067,0.2475,0.52,0.6432,100,0.4667,1.4,10,0.35,0.7,10,0.0,0.0,10,0.05,0.1,10,0.3,0.9,10,0.3,0.9,10,0.4,0.8,10,0.0,0.0,10,0.2,0.4,10,0.0,0.0,10
apathetic,pos,apathetic_pos,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
apathetic,pos,apathetic_pos,openai,0.2983,0.368,0.68,0.8748,100,0.3,0.9,10,0.45,0.9,10,0.3,0.6,10,0.1,0.2,10,0.1333,0.4,10,0.4,1.2,10,0.6,1.2,10,0.45,0.9,10,0.25,0.5,10,0.0,0.0,10
apathetic,neg,apathetic_neg,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
apathetic,neg,apathetic_neg,openai,0.1667,0.2823,0.37,0.6139,100,0.2,0.6,10,0.25,0.5,10,0.45,0.9,10,0.2,0.4,10,0.0,0.0,10,0.1333,0.4,10,0.05,0.1,10,0.25,0.5,10,0.1,0.2,10,0.0333,0.1,10
