trait,direction,judge_type,mean_normalized,std_normalized,mean_raw,std_raw,count,set_1_mean_norm,set_1_mean_raw,set_1_n,set_2_mean_norm,set_2_mean_raw,set_2_n,set_3_mean_norm,set_3_mean_raw,set_3_n,set_4_mean_norm,set_4_mean_raw,set_4_n,set_5_mean_norm,set_5_mean_raw,set_5_n,set_6_mean_norm,set_6_mean_raw,set_6_n,set_7_mean_norm,set_7_mean_raw,set_7_n,set_8_mean_norm,set_8_mean_raw,set_8_n,set_9_mean_norm,set_9_mean_raw,set_9_n,set_10_mean_norm,set_10_mean_raw,set_10_n
unsteered,none,unsteered,0.2283,0.3463,0.55,0.8689,100,0.6,1.8,10,0.1,0.2,10,0.05,0.1,10,0.05,0.1,10,0.1,0.3,10,0.2333,0.7,10,0.7,1.4,10,0.1,0.2,10,0.35,0.7,10,0.0,0.0,10
evil,pos,evil_pos,0.1433,0.3089,0.36,0.798,100,0.6,1.8,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0333,0.1,10,0.1,0.3,10,0.4,0.8,10,0.15,0.3,10,0.15,0.3,10,0.0,0.0,10
evil,neg,evil_neg,0.4117,0.3493,0.94,0.8507,100,0.6,1.8,10,0.2,0.4,10,0.5,1.0,10,0.45,0.9,10,0.3,0.9,10,0.2333,0.7,10,0.75,1.5,10,0.35,0.7,10,0.7,1.4,10,0.0333,0.1,10
apathetic,pos,apathetic_pos,0.23,0.3439,0.55,0.8572,100,0.5,1.5,10,0.0,0.0,10,0.05,0.1,10,0.15,0.3,10,0.1333,0.4,10,0.2,0.6,10,0.7,1.4,10,0.2,0.4,10,0.3,0.6,10,0.0667,0.2,10
apathetic,neg,apathetic_neg,0.1633,0.292,0.4,0.7385,100,0.4333,1.3,10,0.1,0.2,10,0.0,0.0,10,0.0,0.0,10,0.1,0.3,10,0.2,0.6,10,0.3,0.6,10,0.15,0.3,10,0.35,0.7,10,0.0,0.0,10
hallucinating,pos,hallucinating_pos,0.2783,0.3308,0.67,0.8768,100,0.6667,2.0,10,0.1,0.2,10,0.3,0.6,10,0.15,0.3,10,0.2333,0.7,10,0.2333,0.7,10,0.5,1.0,10,0.2,0.4,10,0.4,0.8,10,0.0,0.0,10
hallucinating,neg,hallucinating_neg,0.1917,0.3837,0.44,0.8913,100,0.2667,0.8,10,0.1,0.2,10,0.0,0.0,10,0.1,0.2,10,0.0667,0.2,10,0.2,0.6,10,0.55,1.1,10,0.1,0.2,10,0.5,1.0,10,0.0333,0.1,10
humorous,pos,humorous_pos,0.1667,0.307,0.43,0.8439,100,0.6667,2.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.1,0.3,10,0.2,0.6,10,0.3,0.6,10,0.05,0.1,10,0.35,0.7,10,0.0,0.0,10
humorous,neg,humorous_neg,0.3383,0.3874,0.77,0.9195,100,0.5333,1.6,10,0.2,0.4,10,0.3,0.6,10,0.2,0.4,10,0.1667,0.5,10,0.2333,0.7,10,0.8,1.6,10,0.25,0.5,10,0.7,1.4,10,0.0,0.0,10
impolite,pos,impolite_pos,0.1967,0.337,0.49,0.8819,100,0.6667,2.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.1,0.3,10,0.2,0.6,10,0.6,1.2,10,0.1,0.2,10,0.3,0.6,10,0.0,0.0,10
impolite,neg,impolite_neg,0.2517,0.3346,0.59,0.8299,100,0.4667,1.4,10,0.2,0.4,10,0.1,0.2,10,0.1,0.2,10,0.2,0.6,10,0.2,0.6,10,0.65,1.3,10,0.15,0.3,10,0.45,0.9,10,0.0,0.0,10
optimistic,pos,optimistic_pos,0.3217,0.3679,0.77,0.9305,100,0.7,2.1,10,0.2,0.4,10,0.25,0.5,10,0.2,0.4,10,0.2,0.6,10,0.2333,0.7,10,0.7,1.4,10,0.1,0.2,10,0.5,1.0,10,0.1333,0.4,10
optimistic,neg,optimistic_neg,0.21,0.3487,0.52,0.9043,100,0.7,2.1,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.1,0.3,10,0.2,0.6,10,0.65,1.3,10,0.15,0.3,10,0.3,0.6,10,0.0,0.0,10
sycophantic,pos,sycophantic_pos,0.25,0.3823,0.6,0.9428,100,0.6333,1.9,10,0.0,0.0,10,0.25,0.5,10,0.0,0.0,10,0.1333,0.4,10,0.2,0.6,10,0.75,1.5,10,0.1,0.2,10,0.4,0.8,10,0.0333,0.1,10
sycophantic,neg,sycophantic_neg,0.1583,0.2642,0.39,0.6801,100,0.4667,1.4,10,0.0,0.0,10,0.05,0.1,10,0.0,0.0,10,0.1,0.3,10,0.1667,0.5,10,0.3,0.6,10,0.1,0.2,10,0.4,0.8,10,0.0,0.0,10
openai,none,openai,0.4667,0.3169,1.08,0.7873,100,0.6333,1.9,10,0.55,1.1,10,0.4,0.8,10,0.35,0.7,10,0.2333,0.7,10,0.2333,0.7,10,0.7,1.4,10,0.65,1.3,10,0.55,1.1,10,0.3667,1.1,10
