judge_type,1,2,3,4,5,6,7,8,9,10
apathetic_neg,0.4333333333333333,0.1,0.0,0.0,0.1,0.2,0.3,0.15,0.35,0.0
apathetic_pos,0.5,0.0,0.05,0.15,0.13333333333333333,0.2,0.7,0.2,0.3,0.06666666666666667
evil_neg,0.6,0.2,0.5,0.45,0.3,0.2333333333333333,0.75,0.35,0.7,0.03333333333333333
evil_pos,0.6,0.0,0.0,0.0,0.03333333333333333,0.1,0.4,0.15,0.15,0.0
hallucinating_neg,0.26666666666666666,0.1,0.0,0.1,0.06666666666666667,0.2,0.55,0.1,0.5,0.03333333333333333
hallucinating_pos,0.6666666666666666,0.1,0.3,0.15,0.2333333333333333,0.2333333333333333,0.5,0.2,0.4,0.0
humorous_neg,0.5333333333333333,0.2,0.3,0.2,0.16666666666666666,0.2333333333333333,0.8,0.25,0.7,0.0
humorous_pos,0.6666666666666667,0.0,0.0,0.0,0.1,0.2,0.3,0.05,0.35,0.0
impolite_neg,0.4666666666666666,0.2,0.1,0.1,0.2,0.2,0.65,0.15,0.45,0.0
impolite_pos,0.6666666666666667,0.0,0.0,0.0,0.1,0.2,0.6,0.1,0.3,0.0
openai,0.6333333333333333,0.55,0.4,0.35,0.2333333333333333,0.2333333333333333,0.7,0.65,0.55,0.36666666666666664
optimistic_neg,0.7,0.0,0.0,0.0,0.1,0.2,0.65,0.15,0.3,0.0
optimistic_pos,0.7,0.2,0.25,0.2,0.2,0.2333333333333333,0.7,0.1,0.5,0.13333333333333333
sycophantic_neg,0.4666666666666667,0.0,0.05,0.0,0.1,0.16666666666666666,0.3,0.1,0.4,0.0
sycophantic_pos,0.6333333333333333,0.0,0.25,0.0,0.13333333333333333,0.2,0.75,0.1,0.4,0.03333333333333333
unsteered,0.6,0.1,0.05,0.05,0.1,0.2333333333333333,0.7,0.1,0.35,0.0
