judge_type,mean_bias,std_bias,mae,mean_raw_score,mean_gt_score,mean_normalized,count,qwk_set_1,bias_set_1,mae_set_1,qwk_set_2,bias_set_2,mae_set_2,qwk_set_3,bias_set_3,mae_set_3,qwk_set_4,bias_set_4,mae_set_4,qwk_set_5,bias_set_5,mae_set_5,qwk_set_6,bias_set_6,mae_set_6,qwk_set_7,bias_set_7,mae_set_7,qwk_set_8,bias_set_8,mae_set_8,qwk_set_9,bias_set_9,mae_set_9,qwk_set_10,bias_set_10,mae_set_10,mean_qwk,std_qwk
unsteered,-0.5,0.9434,0.82,0.55,1.05,0.2283,100,0.3548,0.1,0.6,0.08,-1.25,1.25,0.1333,-0.85,0.85,0.0,-0.9,0.9,0.6512,-0.15,0.35,0.697,0.4,0.4,0.0,0.4,1.0,0.0,-0.9,1.0,0.4776,-0.65,0.65,0.0,-1.2,1.2,0.2394,0.2674
evil_pos,-0.69,0.9969,0.96,0.36,1.05,0.1433,100,0.0278,0.1,0.9,0.0,-1.45,1.45,0.0,-0.95,0.95,0.0,-1.0,1.0,0.1935,-0.35,0.35,0.3443,0.0,0.4,-0.5,-0.2,1.4,0.1333,-0.8,0.9,0.1593,-1.05,1.05,0.0,-1.2,1.2,0.0358,0.2091
evil_neg,-0.11,0.8988,0.67,0.94,1.05,0.4117,100,0.5161,0.1,0.5,0.0952,-1.05,1.05,0.0,0.05,0.45,0.2857,-0.1,0.4,0.557,0.45,0.55,0.697,0.4,0.4,-0.1538,0.5,1.1,0.1818,-0.4,0.8,0.8148,0.05,0.35,0.0964,-1.1,1.1,0.309,0.3046
apathetic_pos,-0.5,0.9849,0.84,0.55,1.05,0.23,100,-0.1333,-0.2,1.1,0.0,-1.45,1.45,0.1333,-0.85,0.85,0.1538,-0.7,0.7,0.8148,-0.05,0.25,0.7423,0.3,0.3,-0.1429,0.4,1.0,0.0,-0.7,1.0,0.3421,-0.75,0.75,0.2105,-1.0,1.0,0.2121,0.3172
apathetic_neg,-0.65,0.893,0.84,0.4,1.05,0.1633,100,0.2105,-0.4,0.7,0.08,-1.25,1.25,0.0,-0.95,0.95,0.0,-1.0,1.0,0.8485,-0.15,0.15,0.7423,0.3,0.3,-0.25,-0.4,1.2,-0.1333,-0.8,1.0,0.4776,-0.65,0.65,0.0,-1.2,1.2,0.1976,0.3521
hallucinating_pos,-0.38,0.8807,0.73,0.67,1.05,0.2783,100,0.4,0.3,0.6,0.087,-1.25,1.25,0.0,-0.35,0.65,0.1538,-0.7,0.7,0.7423,0.25,0.35,0.697,0.4,0.4,0.2,0.0,0.8,0.2857,-0.7,0.8,0.5588,-0.55,0.55,0.0,-1.2,1.2,0.3125,0.2618
hallucinating_neg,-0.61,1.099,0.99,0.44,1.05,0.1917,100,-0.1475,-0.9,1.6,0.08,-1.25,1.25,0.0,-0.95,0.95,0.0,-0.8,1.0,0.7619,-0.25,0.25,0.7423,0.3,0.3,-0.3529,0.1,1.3,-0.2222,-0.9,1.2,0.0,-0.35,0.95,0.0964,-1.1,1.1,0.0958,0.3537
humorous_pos,-0.62,0.9086,0.86,0.43,1.05,0.1667,100,0.2857,0.3,0.7,0.0,-1.45,1.45,0.0,-0.95,0.95,0.0,-1.0,1.0,0.6512,-0.15,0.35,0.7423,0.3,0.3,0.0,-0.4,1.0,0.1176,-1.0,1.0,0.4776,-0.65,0.65,0.0,-1.2,1.2,0.2274,0.2795
humorous_neg,-0.28,1.0107,0.78,0.77,1.05,0.3383,100,0.1667,-0.1,1.0,0.0,-1.05,1.25,-0.4,-0.35,0.85,0.0,-0.6,0.7,0.9091,0.05,0.15,0.697,0.4,0.4,0.1429,0.6,0.8,-0.1538,-0.6,1.0,0.6296,0.05,0.45,0.0,-1.2,1.2,0.1991,0.3929
impolite_pos,-0.56,0.9308,0.84,0.49,1.05,0.1967,100,0.2857,0.3,0.7,0.0,-1.45,1.45,0.0,-0.95,0.95,0.0,-1.0,1.0,0.6512,-0.15,0.35,0.7423,0.3,0.3,0.1429,0.2,0.8,0.25,-0.9,0.9,0.3421,-0.75,0.75,0.0,-1.2,1.2,0.2414,0.2596
impolite_neg,-0.46,0.9319,0.77,0.59,1.05,0.2517,100,0.2857,-0.3,0.6,0.1739,-1.05,1.05,0.0,-0.75,0.95,0.0,-0.8,0.8,0.7368,0.15,0.25,0.7423,0.3,0.3,0.0,0.3,0.9,-0.1333,-0.8,1.0,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2091,0.2946
optimistic_pos,-0.28,0.9282,0.71,0.77,1.05,0.3217,100,0.4068,0.4,0.6,0.0,-1.05,1.25,0.3636,-0.45,0.65,0.1667,-0.6,0.6,0.6053,0.15,0.45,0.697,0.4,0.4,0.1429,0.4,0.8,0.0,-0.9,1.0,0.4,-0.35,0.55,0.3056,-0.8,0.8,0.3088,0.2231
optimistic_neg,-0.53,0.9691,0.86,0.52,1.05,0.21,100,0.2029,0.4,0.8,0.0,-1.45,1.45,0.0,-0.95,0.95,0.0,-1.0,1.0,0.6512,-0.15,0.35,0.7423,0.3,0.3,0.0,0.3,0.9,0.1333,-0.8,0.9,0.3421,-0.75,0.75,0.0,-1.2,1.2,0.2072,0.2687
sycophantic_pos,-0.45,1.0665,0.91,0.6,1.05,0.25,100,0.0984,0.2,0.8,0.0,-1.45,1.45,-0.4,-0.45,1.25,0.0,-1.0,1.0,0.5312,-0.05,0.45,0.7423,0.3,0.3,0.0,0.5,0.9,0.25,-0.9,0.9,0.0909,-0.55,0.95,-0.0241,-1.1,1.1,0.1289,0.3014
sycophantic_neg,-0.66,0.8686,0.85,0.39,1.05,0.1583,100,0.1071,-0.3,0.8,0.0,-1.45,1.45,-0.1333,-0.85,1.05,0.0,-1.0,1.0,0.6512,-0.15,0.35,0.8182,0.2,0.2,-0.1429,-0.4,1.0,0.25,-0.9,0.9,0.4828,-0.55,0.55,0.0,-1.2,1.2,0.2033,0.3202
openai,0.03,0.6922,0.44,1.08,1.05,0.4667,100,0.0984,0.2,0.9,0.5556,-0.35,0.35,0.25,-0.15,0.45,0.6667,-0.3,0.3,0.6753,0.25,0.35,0.697,0.4,0.4,0.3333,0.4,0.6,0.5455,0.2,0.4,0.5098,-0.25,0.45,0.3478,-0.1,0.2,0.4679,0.1916
